term,definition,link,introduced_by_card_id
Confederation,Confederation is when several separate British colonies joined together in 1867 to form one country: Canada.,https://en.wikipedia.org/wiki/Canadian_Confederation,4106
Dominion of Canada,"Canada's official name at Confederation in 1867 — ""Dominion"" was the term Canadians chose instead of calling the new country a kingdom or republic.",,5109
Fathers of Confederation,"The politicians from Nova Scotia, New Brunswick, and the old Province of Canada who met in the 1860s and hammered out the deal that created Canada.",,5131
British North America Act,"The 1867 law passed by the British Parliament that actually created Canada. It's still in force today, just renamed the Constitution Act, 1867.",,5131
Constitution Act,"Canada's founding constitutional law — the 1867 version created the country, and a 1982 version added the Charter of Rights and Freedoms and brought the constitution fully under Canadian control.",,9011
Responsible government,A system where the people running the government (the Cabinet) only stay in power as long as they have the support of the majority of elected representatives — not because a governor simply appointed them.,,5105
United Empire Loyalists,"Colonists who stayed loyal to the British Crown during the American Revolution and fled to Canada afterward, settling mostly in what's now Ontario and the Maritimes.",https://en.wikipedia.org/wiki/United_Empire_Loyalist,14115
War of 1812,A war between the United States and Britain (fought partly on Canadian soil) that ended in a stalemate — but it's remembered here because it kept Canada from being absorbed into the U.S.,https://en.wikipedia.org/wiki/War_of_1812,5062
Royal Proclamation of 1763,A decree from King George III that first recognized Indigenous peoples' rights to their land — it's the starting point for the treaty relationship between the Crown and First Nations.,,3046
Red River,"The Manitoba settlement where, in 1869-70, the Métis rose up under Louis Riel after Canada tried to take over the territory without consulting the people already living there.",https://en.wikipedia.org/wiki/Red_River_Rebellion,5169
1885 Rebellion,"A second uprising led by Louis Riel and the Métis, this time in Saskatchewan, that ended with Riel's trial and execution for treason.",,6032
NWMP,Short for North West Mounted Police — the force created in 1873 to police the newly settled Canadian West. It later became the RCMP.,,5132
Quiet Revolution,"A period in the 1960s when Quebec rapidly modernized and moved away from Church control, and when Quebec nationalism (the idea of Quebec as a distinct society) grew stronger.",https://en.wikipedia.org/wiki/Quiet_Revolution,8141
Official Languages Act,"A 1969 federal law that made English and French equal languages across the federal government, guaranteeing Canadians the right to federal services in either one.",,8152
Vimy Ridge,A First World War battle (1917) where Canadian troops fought together as one force for the first time and won — often called the moment Canada started feeling like a real nation.,https://en.wikipedia.org/wiki/Battle_of_Vimy_Ridge,7021
Hundred Days,"The final string of Allied victories that ended the First World War in 1918, with Canadian troops under General Arthur Currie playing a leading role.",,7042
D-Day,"June 6, 1944 — the day Allied forces landed in Normandy, France, to begin liberating Europe from Nazi occupation. Canadian troops led one of the five landing beaches.",https://en.wikipedia.org/wiki/Normandy_landings,7201
Juno Beach,The stretch of Normandy coastline that Canadian soldiers were assigned to capture on D-Day in 1944.,https://en.wikipedia.org/wiki/Juno_Beach,7022
Battle of the Atlantic,The Second World War naval campaign where Canadian warships helped protect supply convoys crossing the Atlantic from German submarines.,,7192
Underground Railroad,Not an actual railroad — a secret network of routes and safe houses that helped enslaved people escape the United States to freedom in Canada in the 1800s.,https://en.wikipedia.org/wiki/Underground_Railroad,5041
Chinese Head Tax,"A fee the Canadian government charged Chinese immigrants (and only Chinese immigrants) to enter the country, starting in the 1880s. Canada formally apologized for it in 2006.",,6122
Yukon Gold Rush,"A rush of prospectors into the Yukon in the 1890s after gold was discovered in the Klondike region, quickly turning a remote territory into a boomtown.",https://en.wikipedia.org/wiki/Klondike_Gold_Rush,18069
Constitutional monarchy,"A system of government where a king or queen is the official head of state, but real day-to-day power rests with an elected government acting within the rules of a constitution.",https://en.wikipedia.org/wiki/Constitutional_monarchy,3016
the Sovereign,Canada's head of state — currently King Charles III. The role is symbolic and non-partisan; the elected Prime Minister and Cabinet actually run the country.,,7112
the Crown,"Another name for the Sovereign's role as head of state — used to talk about the authority of the monarchy as an institution, separate from whoever happens to be king or queen at the time. You'll see it in phrases like ""Crown land"" (government-owned land) or ""the Crown prosecutes"" (the government brings criminal charges, not a private citizen).",,4184
Governor General,"The Sovereign's representative in Canada, appointed on the Prime Minister's advice. The Governor General performs ceremonial duties and formally signs bills into law, but doesn't make political decisions.",https://en.wikipedia.org/wiki/Governor_General_of_Canada,3241
Lieutenant Governor,The Sovereign's representative in each province — basically the provincial version of the Governor General.,,5031
Commissioner,"The federal government's representative in each of Canada's three territories (Yukon, Northwest Territories, Nunavut) — similar to a Lieutenant Governor, but appointed by Ottawa rather than the Sovereign.",,10402
confidence vote,A vote in the House of Commons on a major issue (like the budget) that tests whether the governing party still has enough support to keep governing. Losing one usually triggers an election.,,9082
non-confidence,"When the House of Commons votes against the government on a major issue, showing it no longer has majority support — this can force the government to resign or call an election.",,9082
Parliament,"Canada's federal law-making body, made up of three parts working together: the Sovereign (represented by the Governor General), the Senate, and the House of Commons.",https://en.wikipedia.org/wiki/Parliament_of_Canada,2021
House of Commons,"The elected chamber of Parliament, where Members of Parliament (MPs) debate and vote on laws. This is the chamber that actually decides who forms the government.",,9062
Senate,"Parliament's second chamber, whose members (Senators) are appointed rather than elected. It reviews and can propose changes to bills passed by the House of Commons.",,9062
Senator,"A member of the Senate, appointed by the Governor General on the Prime Minister's advice, who serves until age 75.",,6032
Royal assent,"The final formal step that turns a bill into law — the Governor General signs it on the Sovereign's behalf, after it has already passed both the House of Commons and the Senate.",,9112
riding,Another word for an electoral district — the specific geographic area whose voters elect one Member of Parliament (or one provincial representative).,,10041
Cabinet,The Prime Minister and the ministers chosen to run government departments (like Health or Finance). Cabinet proposes most new laws and the federal budget.,,9081
Official Opposition,The opposition party with the most seats in the House of Commons — its job is to challenge and hold the government to account.,,10211
majority government,"A government where the winning party holds more than half the seats in the House of Commons, letting it pass laws without needing support from other parties.",,10161
minority government,"A government where the winning party holds less than half the seats in the House of Commons, meaning it needs support from at least one other party to pass laws.",,10162
Federalism,"A system of government where power is divided between a national (federal) government and provincial/territorial governments, each with its own areas of responsibility — e.g. Ottawa handles national defence and citizenship, while provinces run health care and education.",,9051
Premier,The head of a provincial or territorial government — the provincial equivalent of the Prime Minister.,,5174
MLA,Member of the Legislative Assembly — what an elected provincial representative is called in most provinces and territories.,,10372
MNA,Member of the National Assembly — what an elected provincial representative is called in Quebec.,,9242
MPP,Member of Provincial Parliament — what an elected provincial representative is called in Ontario.,,9242
MHA,Member of the House of Assembly — what an elected provincial representative is called in Newfoundland and Labrador.,,9242
Elections Canada,The independent federal agency responsible for running elections and keeping the national list of registered voters.,,10091
by-law,"A local law passed by a municipal (city or town) council, covering things like parking, noise, or property standards.",,10172
band council,"The elected leadership of a First Nation, made up of a chief and councillors, responsible for local services like housing, schools, and roads on the reserve.",,10332
rule of law,The principle that everyone — including the government itself — has to follow the law. No one is above it.,https://en.wikipedia.org/wiki/Rule_of_law,2022
due process,"The principle that the government must follow fair, established legal procedures before it can take away someone's rights, freedom, or property.",,11001
presumption of innocence,The rule that anyone accused of a crime is treated as innocent unless and until a court actually proves them guilty.,,11006
habeas corpus,"An old legal right letting someone who's been detained by the state demand to be brought before a court, so a judge can decide whether the detention is actually lawful.",https://en.wikipedia.org/wiki/Habeas_corpus,2008
Supreme Court of Canada,"Canada's highest court — its decisions are final, and every other court in the country has to follow them.",https://en.wikipedia.org/wiki/Supreme_Court_of_Canada,11041
Federal Court,"The court that handles legal cases specifically involving the federal government, such as immigration or federal agency decisions.",,8172
King's Bench,"The name used in some provinces (instead of ""Superior Court"") for the main trial-level court that hears serious criminal and civil cases.",,11051
