id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1001,1,true_false,preview,1002,Officials review your application before approving citizenship.,,true,,,"Yes, they thoroughly review everything you submitted to make sure you qualify and meet all legal standards."
1002,1,multi_select,main,,What do officials check when you apply?,Status|Not prohibited|Requirements met|Your salary,0|1|2,,,"Officials check your status, that you're not prohibited from applying, and that you meet the requirements."
1003,1,true_false,exercise,1002,Officials check if you're prohibited from applying.,,true,,,Absolutely; the first thing they do is verify that there are no legal reasons why your application would be automatically rejected.
1004,1,true_false,exercise,1002,Applying skips every eligibility check.,,false,,,"No, applying is the process that requires you to pass multiple rigorous eligibility checkpoints."
1005,1,select_blank,exercise,1002,Officials verify you meet all ___.,requirements|holidays|hobbies|debts,0,,,"They must confirm you satisfy every legal requirement, not just things like hobbies or debts."
1006,1,multiple_choice,exercise,1002,What might block your application?,Being prohibited|Shoe size|Your horoscope|Pet's name,0,,,Only a formal prohibition or disqualifying factor can stop your application; personal details like shoe size are irrelevant.
1007,1,true_false,exercise,1002,Applying for citizenship involves zero checks.,,false,,,"No, applying for citizenship involves many checks; they conduct thorough background reviews covering everything from criminal history to residency."
1008,1,true_false,preview,1009,Your citizenship application can take months.,,true,,,"That's correct. Because the process requires verifying your entire background and residency history, it naturally takes several months."
1009,1,select_blank,main,,Your application may take several ___.,months|days|hours|minutes,0,,,Processing an application can take several months from start to finish.
1010,1,true_false,exercise,1009,Applications are usually processed within one day.,,false,,,"Not at all. Since they must conduct thorough background checks and reviews, processing is a lengthy procedure that cannot be completed in one day."
1011,1,multiple_choice,exercise,1009,About how long can processing take?,Several months|One week|One day|Ten years,0,,,It usually takes several months because they have to verify your residency status and background information carefully before approval.
1012,1,select_blank,exercise,1009,Processing can take several ___.,months|seconds|minutes|hours,0,,,Processing typically takes several months because the review of documentation and background checks is a complex process that cannot be rushed.
1013,1,true_false,exercise,1009,Processing time is always instant.,,false,,,Processing time is rarely instant because applications require manual review and system processing that takes time.
1014,1,true_false,preview,1015,You must give the Call Centre your address.,,true,,,"Yes, you must provide your address so the Call Centre can accurately update your file and ensure all official correspondence reaches you."
1015,1,select_blank,main,,Keep the Call Centre updated with your ___.,address|passport|photo|salary,0,,,"While your application is processed, the Call Centre must always have your correct address."
1016,1,true_false,exercise,1015,Address updates matter while your application processes.,,true,,,"It is crucial because if we send important documents or confirmation letters to an old address, your application could be delayed or rejected entirely."
1017,1,multiple_choice,exercise,1015,Who should have your current address?,Call Centre|Your employer|Your landlord|Your school,0,,,The Call Centre needs this information because they are the ones managing and updating your official file; third parties like employers do not need it for processing purposes.
1018,1,true_false,exercise,1015,You can ignore address changes during processing.,,false,,,"You cannot ignore these changes, as any critical communication regarding your application could be sent to an outdated address, causing significant delays."
1019,1,select_blank,exercise,1015,Call Centre phone numbers are listed on ___.,page 54|page 6|page 100|page 1,0,,,Telephone numbers for the Call Centre are printed on page 54 of the guide.
1020,1,true_false,preview,1021,Studying this guide helps you prepare.,,true,,,"Yes, reviewing the guide is exactly how you build confidence and get ready for your classes."
1021,1,multi_select,main,,Which are recommended ways to prepare?,Study guide|With family|Local classes|Language classes|Skip studying,0|1|2|3,,,"The guide recommends studying it, practicing with a friend or family member, contacting local citizenship classes, and taking free government language classes."
1022,1,true_false,exercise,1021,A friend can help you practice questions.,,true,,,Absolutely; practicing with a friend is a great way to test your knowledge and feel comfortable speaking the language.
1023,1,multiple_choice,exercise,1021,Where can you ask about citizenship classes?,Community centre|Grocery store|Movie theater|Gas station,0,,,"Community centers are designed to be local hubs for education and resources, making them the right place to ask about classes."
1024,1,true_false,exercise,1021,The government offers free language classes.,,true,,,That's right; many local governments provide these services to help residents integrate and learn a new language.
1025,1,select_blank,exercise,1021,You should ___ this guide to prepare.,study|ignore|sell|hide,0,,,You need to actively study it because that is the only way to absorb the information and feel prepared for your classes.
1026,1,true_false,exercise,1021,Local schools can share citizenship class info.,,true,,,"Yes, local schools often coordinate and share resources regarding citizenship classes to make them more accessible in the community."
1027,1,multiple_choice,exercise,1021,Which languages get free government classes?,English/French|Spanish/German|Mandarin/Hindi|Arabic/Farsi,0,,,"The government typically provides free citizenship classes for English and French speakers, which are the primary languages of instruction in many areas."
1028,1,true_false,preview,1029,The citizenship test is usually written.,,true,,,"While other formats exist, the standard procedure involves taking a written exam to assess your knowledge of local laws and culture."
1029,1,multiple_choice,main,,What form can the citizenship test take?,Written/interview|Only written|Oral exam|Group discussion,0,,,The test is usually written but could instead be given as an interview.
1030,1,true_false,exercise,1029,The test could be an interview instead.,,true,,,"Yes, depending on the specific program or individual needs, your assessment might take the form of a one-on-one interview rather than just a written test."
1031,1,true_false,exercise,1029,The test is always a group discussion.,,false,,,"No, while some centers use group discussions, the format can vary greatly and may be written or an interview instead."
1032,1,multiple_choice,exercise,1029,Which is the test usually given as?,Written test|Video call|Group project|Home visit,0,,,The primary assessment method is typically a written exam designed to gauge your knowledge base across various topics.
1033,1,true_false,exercise,1029,An interview format is possible for the test.,,true,,,"Yes, sometimes they will include an interview component alongside the written portion to assess your conversational skills and general fit."
1034,1,true_false,preview,1035,The test checks your knowledge of Canada.,,true,,,"Absolutely; understanding Canadian culture, history, and current events is a key part of the evaluation process for most applicants."
1035,1,multi_select,main,,What two things does the test assess?,Canada knowledge|Language ability|Your income|Job skills,0|1,,,"The test checks two things: your knowledge of Canada's rights and responsibilities, and your knowledge of English or French."
1036,1,true_false,exercise,1035,The test checks your language ability too.,,true,,,"Definitely, demonstrating proficiency in the required language is one of the most important parts of the assessment, often weighted heavily."
1037,1,multiple_choice,exercise,1035,"Besides Canada knowledge, what else is tested?",Language ability|Cooking skill|Driving skill|Sports ability,0,,,"While knowing about Canada is important, the core focus beyond that knowledge is always confirming your functional language skills and ability to communicate daily life."
